,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,10.147391599999537,stay,1.1474113000003854,95,95,95
1,1,16.044009999997797,leave,0.943948600001022,0,95,95
2,2,25.260999999998603,stay,0.894570799999201,88,88,183
3,2,30.50971959999879,leave,0.8269065999993472,0,88,183
4,3,37.246104599998944,stay,0.8633750000008149,97,97,280
5,3,41.61454749999757,stay,0.7652495000002091,79,176,359
6,3,46.263291299997945,leave,1.5138680000018212,0,176,359
7,4,52.96800929999881,stay,1.8521783000032883,99,99,458
8,4,56.864295200000925,stay,1.231905500000721,83,182,541
9,4,61.28897529999813,leave,0.7401713999970525,0,182,541
10,5,68.1372549000007,stay,0.6552812999980233,99,99,640
11,5,73.1300749999973,stay,1.2646664999992936,82,181,722
12,5,77.41057849999925,leave,0.7287206000000879,0,181,722
13,6,85.18732430000091,stay,1.9555485999990196,95,95,817
14,6,94.94841319999978,stay,1.2171078999999736,84,179,901
15,6,99.46888100000069,stay,0.8041378999987501,69,248,970
16,6,103.42909529999815,leave,1.2145918000023812,0,248,970
17,7,110.14188889999787,stay,1.0608995000002324,94,94,1064
18,7,115.03841810000085,leave,1.0407273999990139,0,94,1064
19,8,121.78303389999928,stay,0.4689160999987507,88,88,1152
20,8,126.54373189999751,leave,1.4129557000014756,0,88,1152
21,9,133.24026550000053,stay,1.02641610000137,92,92,1244
22,9,139.10490089999803,stay,0.7744682999982615,78,170,1322
23,9,146.12192900000082,stay,0.7914882999975816,75,245,1397
24,9,151.60241079999832,leave,2.022160200001963,0,245,1397
25,10,159.29913889999807,stay,2.369140700000571,86,86,1483
26,10,164.15566729999773,leave,1.4756586999974388,0,86,1483
27,11,170.9243323999981,stay,0.6279232999986561,92,92,1575
28,11,174.83702989999802,leave,0.5906192000002193,0,92,1575
29,12,180.97365680000075,stay,0.9105432999967888,89,89,1664
30,12,186.1823293999987,leave,1.0194468000008783,0,89,1664
31,13,192.19887179999932,stay,0.752791500002786,88,88,1752
32,13,197.01539179999963,leave,0.852697199999966,0,88,1752
33,14,203.82393819999925,stay,0.7615121000017098,98,98,1850
34,14,208.17637719999766,stay,0.880688299999747,85,183,1935
35,14,212.31284099999903,stay,0.833845699999074,65,248,2000
36,14,216.6894027999988,leave,0.9103426999972726,0,248,2000
37,15,223.137949699998,stay,0.7925910000012664,99,99,2099
38,15,227.0105255999988,stay,0.7818012000025192,82,181,2181
39,15,231.74701300000015,stay,1.001841900000727,68,249,2249
40,15,236.08341529999961,leave,0.854956499999389,0,249,2249
41,16,241.9800221000005,stay,0.8017519999993965,100,100,2349
42,16,245.71626119999928,stay,0.7215720999993209,75,175,2424
43,16,250.2129105999993,leave,1.0848643999997876,0,175,2424
44,17,257.1174801999987,stay,0.9396298999999999,100,100,2524
45,17,263.3022725999981,stay,1.2579329000000143,75,175,2599
46,17,268.2870062999973,leave,0.6759406000019226,0,175,2599
47,18,274.3594932999986,stay,0.6985014000019873,86,86,2685
48,18,278.6720888999989,leave,1.1280047000000195,0,86,2685
49,19,284.68083189999743,stay,0.820215100000496,97,97,2782
50,19,288.40096749999793,stay,0.8905168999990565,82,179,2864
51,19,292.3774035999995,leave,0.9668187999996007,0,179,2864
52,20,298.4340627999991,stay,0.7901635999987775,98,98,2962
