,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,9.523141300000134,stay,0.7882346999977017,86,86,86
1,1,13.243817800001125,stay,0.7920637999995961,82,168,168
2,1,17.15968160000193,stay,0.7415401000034763,69,237,237
3,1,20.726427300003706,leave,0.8417759000003571,0,237,237
4,2,26.890702299999248,stay,0.8061831000013626,93,93,330
5,2,30.651122300005227,stay,0.7665169000028982,75,168,405
6,2,34.53354400000535,stay,0.8323832000023685,72,240,477
7,2,38.761879900004715,stay,0.7274198000013712,57,297,534
8,2,42.58073549999972,leave,0.6964624999964144,0,297,534
9,3,48.2391734000048,stay,0.7048396999962279,96,96,630
10,3,51.533477000004495,stay,0.7828968999965582,82,178,712
11,3,56.02578840000206,stay,0.8583489000011468,66,244,778
12,3,59.47435609999957,leave,0.6739539000045625,0,244,778
13,4,65.3107730000047,stay,0.6932153000016115,99,99,877
14,4,68.677262600002,stay,0.659838799998397,76,175,953
15,4,72.10952700000053,stay,0.6591947999986587,72,247,1025
16,4,75.93646129999979,leave,0.7195257999992464,0,247,1025
17,5,81.62446959999943,stay,0.691009899994242,97,97,1122
18,5,84.86718590000237,stay,0.6502155999987735,77,174,1199
19,5,88.2235542999988,stay,0.673450900001626,67,241,1266
20,5,91.64772829999856,leave,0.7813712999995914,0,241,1266
21,6,97.24812680000468,stay,0.8482013000029838,100,100,1366
22,6,100.454816700003,stay,0.6386805000001914,81,181,1447
23,6,103.74696029999905,stay,0.5800168999994639,66,247,1513
24,6,106.97732810000161,leave,0.7277354999969248,0,247,1513
25,7,112.4097769,stay,0.5604763999945135,98,98,1611
26,7,115.52234670000325,stay,0.5728419000006397,79,177,1690
27,7,118.7146092000039,stay,0.6321422999972128,71,248,1761
28,7,122.08294610000303,stay,0.6834158999990905,55,303,1816
29,7,125.31729940000514,leave,0.8010328999953344,0,303,1816
30,8,130.8538553000035,stay,0.7381224999990081,89,89,1905
31,8,133.80225829999836,stay,0.6196584999997867,76,165,1981
32,8,136.95030150000093,stay,0.5847235000037472,69,234,2050
33,8,140.0232726000031,leave,0.6075307999999495,0,234,2050
34,9,145.4974394000019,stay,0.6820391000001109,93,93,2143
35,9,148.3819457999998,stay,0.5832392999946023,84,177,2227
36,9,151.4862751000037,stay,0.6208155999993323,70,247,2297
37,9,154.32275880000088,stay,0.574590399999579,58,305,2355
38,9,157.1745491000038,leave,0.5927842000019155,0,305,2355
39,10,162.577360700001,stay,0.5619432999956189,99,99,2454
40,10,165.72557100000267,stay,0.5769828999982565,75,174,2529
41,10,168.47576729999855,stay,0.5775360999978147,74,248,2603
42,10,171.3062424000018,stay,0.5916673000028823,61,309,2664
43,10,174.3050929000019,leave,0.6402173999958904,0,309,2664
44,11,179.782893399999,stay,0.602027699998871,90,90,2754
45,11,182.40919470000517,stay,0.5447387999956845,84,174,2838
46,11,185.2174840000007,stay,0.5696850000022096,67,241,2905
47,11,187.98396850000427,stay,0.5360608000046341,56,297,2961
48,11,190.84430399999837,leave,0.5966775000051712,0,297,2961
49,12,196.08871780000482,stay,0.5080379000064568,93,93,3054
50,12,198.77520920000097,stay,0.5109817000047769,75,168,3129
51,12,201.29328050000186,stay,0.49580240000068443,66,234,3195
52,12,204.30968080000457,stay,0.42880710000463296,56,290,3251
53,12,207.16796270000486,leave,0.5203054999947199,0,290,3251
54,13,212.39646860000357,stay,0.5159274000034202,98,98,3349
55,13,214.97670659999858,stay,0.5295856000011554,84,182,3433
56,13,217.56701389999944,stay,0.5200277999974787,65,247,3498
57,13,220.19346249999944,leave,0.5630409000004875,0,247,3498
58,14,225.50230929999816,stay,0.504946299995936,99,99,3597
59,14,228.0281668000025,stay,0.5311777000024449,82,181,3679
60,14,230.56441420000192,stay,0.5507530000031693,74,255,3753
61,14,233.14068140000018,stay,0.5271923000036622,61,316,3814
62,14,235.85499379999965,leave,0.5580160999961663,0,316,3814
63,15,241.0754492000051,stay,0.4789203999971505,97,97,3911
64,15,243.58983160000207,stay,0.47647069999948144,78,175,3989
65,15,246.15602280000167,stay,0.526166399999056,68,243,4057
66,15,248.68631620000087,stay,0.4897798000019975,57,300,4114
67,15,251.40076119999867,leave,0.4876871000014944,0,300,4114
68,16,256.55377740000404,stay,0.44048450000263983,94,94,4208
69,16,259.03554209999857,stay,0.5060547000030056,82,176,4290
70,16,261.45175980000204,stay,0.5054235000061453,75,251,4365
71,16,263.86203810000006,stay,0.4659094999951776,65,316,4430
72,16,266.3701163000005,stay,0.441041199999745,47,363,4477
73,16,268.874687800002,leave,0.5118019000001368,0,363,4477
74,17,274.0831474000006,stay,0.5041939000002458,86,86,4563
75,17,276.53978970000026,stay,0.410690099997737,84,170,4647
76,17,279.0416764000038,stay,0.5126547999971081,66,236,4713
77,17,281.5497643999988,leave,0.5540368000001763,0,236,4713
78,18,286.75841310000396,stay,0.47926319999533007,97,97,4810
79,18,289.1046854000015,stay,0.49292810000042664,75,172,4885
80,18,291.35896190000494,stay,0.4136902000027476,75,247,4960
81,18,293.5789233000032,stay,0.3669716000003973,63,310,5023
82,18,296.0332864000011,stay,0.5546840000024531,50,360,5073
83,18,298.4056191999989,leave,0.4602729000034742,0,360,5073
