,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,6.1190283999967505,stay,0.9107535999937681,89,89,89
1,1,9.653110300001572,stay,1.1611571999965236,75,164,164
2,1,13.85924530000193,stay,0.6172461000023759,73,237,237
3,1,17.82504070000141,stay,1.4001494999974966,59,296,296
4,1,21.680934099997103,stay,1.006321199995,46,342,342
5,1,25.38304049999715,stay,0.8247759000005317,42,384,384
6,1,29.348953900000197,leave,1.0243833999993512,0,384,384
7,2,36.198881399999664,stay,0.9742604999992182,85,85,469
8,2,39.91109780000261,stay,0.9369695999994292,76,161,545
9,2,43.55508340000233,stay,0.8975789999967674,73,234,618
10,2,47.31726809999964,stay,0.7429720000000088,58,292,676
11,2,52.47920889999659,leave,0.7047638000003644,0,292,676
12,3,58.96914829999878,stay,0.7283765999964089,95,95,771
13,3,62.11107150000316,stay,0.7536179000017,76,171,847
14,3,66.34516659999645,leave,0.5045127000048524,0,171,847
15,4,72.01681909999752,stay,0.6763808000032441,96,96,943
16,4,75.37904739999794,stay,0.7055470999985118,76,172,1019
17,4,78.4473519000021,stay,0.6067135000048438,65,237,1084
18,4,82.12501760000305,leave,0.6846356999958516,0,237,1084
19,5,87.91325650000363,stay,0.6561742999983835,87,87,1171
20,5,90.9711782000013,stay,0.6309328999996069,78,165,1249
21,5,94.05907560000196,leave,0.7026016000017989,0,165,1249
22,6,100.24292350000178,stay,0.886662000004435,86,86,1335
23,6,103.2370729999966,stay,0.7138684000019566,80,166,1415
24,6,106.50120549999701,stay,0.8444898999950965,66,232,1481
25,6,109.77719680000155,leave,0.6872223999962443,0,232,1481
26,7,115.65492159999849,stay,1.0819937999985996,96,96,1577
27,7,119.19700179999927,stay,0.7909794000006514,85,181,1662
28,7,122.23699910000141,stay,0.7144690999994054,75,256,1737
29,7,125.42342130000179,leave,0.7507072000007611,0,256,1737
30,8,131.1309298999986,stay,0.8915752000029897,92,92,1829
31,8,134.4611189999996,stay,0.9050363000060315,85,177,1914
32,8,137.86514950000128,stay,0.7927219999983208,72,249,1986
33,8,141.16518820000056,leave,0.7596037999974214,0,249,1986
34,9,147.13506980000238,stay,1.029375699996308,87,87,2073
35,9,149.96311060000153,stay,0.5576610999996774,84,171,2157
36,9,153.01692529999855,stay,0.8119297000012011,67,238,2224
37,9,156.21686600000248,leave,0.6947079000019585,0,238,2224
38,10,162.2910766999994,stay,1.1858746999932919,97,97,2321
39,10,165.55143279999902,stay,0.8795662999982596,78,175,2399
40,10,168.84309409999696,stay,0.8046341000008397,73,248,2472
41,10,172.13695359999838,stay,0.7822524000002886,63,311,2535
42,10,175.4711516000025,leave,0.8993682000000263,0,311,2535
43,11,181.65327539999998,stay,0.715002299999469,97,97,2632
44,11,185.08341110000038,stay,1.0781668999989051,84,181,2716
45,11,188.2889765,stay,0.8670748000004096,70,251,2786
46,11,191.50529220000317,stay,0.9340024999983143,56,307,2842
47,11,194.49709119999898,leave,0.658977799997956,0,307,2842
48,12,200.61300659999688,stay,0.7585132999956841,89,89,2931
49,12,203.61129660000006,stay,0.656945499998983,85,174,3016
50,12,207.39524430000165,stay,0.7073707000017748,73,247,3089
51,12,211.1891134999969,stay,1.2177967999959947,62,309,3151
52,12,214.40295930000138,leave,0.8819578000038746,0,309,3151
53,13,220.53707040000154,stay,0.6161592999997083,91,91,3242
54,13,223.68119450000086,stay,0.8271241999973427,76,167,3318
55,13,227.24118579999777,stay,0.9206960999945295,72,239,3390
56,13,230.45106010000018,stay,0.6635989999995218,60,299,3450
57,13,233.60113689999707,leave,0.7141946000047028,0,299,3450
58,14,239.21531010000035,stay,0.5782398000010289,90,90,3540
59,14,242.28738470000098,stay,0.46720499999355525,82,172,3622
60,14,244.92706840000028,stay,0.5567864999975427,74,246,3696
61,14,249.15517920000275,stay,0.5846659000017098,59,305,3755
62,14,251.9191931000023,leave,0.5990698999958113,0,305,3755
63,15,258.3830056000006,stay,0.946252400004596,94,94,3849
64,15,261.35117210000317,stay,0.7311238000038429,77,171,3926
65,15,264.6251534999974,stay,0.8388324999978067,66,237,3992
66,15,267.98501280000346,leave,0.9817393999983324,0,237,3992
67,16,273.48119759999827,stay,0.5948519000012311,91,91,4083
68,16,276.75518710000324,stay,0.88554909999948,80,171,4163
69,16,279.77694070000143,stay,0.8573671999984072,71,242,4234
70,16,282.77111650000006,stay,0.7350275999997393,59,301,4293
71,16,285.7031025999968,leave,0.7333527000009781,0,301,4293
72,17,291.06120440000086,stay,0.6420388999977149,96,96,4389
73,17,294.28725719999784,stay,1.0346081000025151,79,175,4468
74,17,297.35120550000283,stay,0.8816618999990169,74,249,4542
