,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,3.3139762000064366,stay,0.6336706000147387,93,93,93
1,1,5.923850199993467,stay,0.4778222000168171,81,174,174
2,1,8.441763600014383,stay,0.5284452000050806,70,244,244
3,1,10.957814299996244,stay,0.494482899986906,62,306,306
4,1,13.613882500008913,leave,0.6336294999928214,0,306,306
5,2,26.41379270001198,stay,0.6518312999978662,89,89,395
6,2,28.983631899987813,stay,0.4877821000118274,82,171,477
7,2,31.68782829999691,stay,0.5418839999765623,68,239,545
8,2,34.389750000002095,stay,0.4609331999963615,61,300,606
9,2,37.18174110000837,stay,0.7689253000135068,50,350,656
10,2,39.9580496000126,leave,0.5789301999902818,0,350,656
11,3,52.52785439998843,stay,0.5492947000020649,89,89,745
12,3,55.04771169999731,stay,0.5691809999989346,78,167,823
13,3,57.51543739999761,stay,0.58689829998184,70,237,893
14,3,60.143485700013116,stay,0.6481788999808487,61,298,954
15,3,62.80798750001122,stay,0.6290976000018418,55,353,1009
16,3,65.34207670000615,stay,0.546268499980215,39,392,1048
17,3,68.14561840001261,leave,0.6835530000098515,0,392,1048
18,4,80.59961309999926,stay,0.7047309999761637,98,98,1146
19,4,83.21185640001204,stay,0.5337089999811724,75,173,1221
20,4,85.80758270001388,stay,0.5639422999811359,75,248,1296
21,4,88.31195490001119,stay,0.5837459999893326,62,310,1358
22,4,90.7799524999864,stay,0.552147700014757,47,357,1405
23,4,93.7075668000034,leave,0.6962548999872524,0,357,1405
24,5,105.92162159999134,stay,0.5777040999964811,92,92,1497
25,5,108.27949009998702,stay,0.5187686000135727,81,173,1578
26,5,110.75444920000155,stay,0.4104214000108186,67,240,1645
27,5,113.09181149999495,stay,0.48240370000712574,57,297,1702
28,5,115.55762139998842,leave,0.6630846000043675,0,297,1702
29,6,127.94779179999023,stay,0.5877245000156108,87,87,1789
30,6,130.50967759999912,stay,0.4158964999951422,85,172,1874
31,6,132.8833600000071,stay,0.4568118000170216,71,243,1945
32,6,135.25372060001246,stay,0.6768684000126086,61,304,2006
33,6,138.1037718000007,leave,0.8939123000018299,0,304,2006
34,7,150.3155892000068,stay,0.5063020000234246,87,87,2093
35,7,152.95767559998785,stay,0.7641942000191193,84,171,2177
36,7,155.4760605999909,stay,0.5322200999944471,67,238,2244
37,7,157.86148739999044,stay,0.4355437000049278,64,302,2308
38,7,160.37760929999058,stay,0.43445830000564456,51,353,2359
39,7,162.95608939998783,leave,0.5460926999803632,0,353,2359
40,8,175.3313766999927,stay,0.4728587999998126,95,95,2454
41,8,177.90533820001292,stay,0.42917479999596253,75,170,2529
42,8,180.27182530000573,stay,0.4626146999944467,75,245,2604
43,8,182.76579949998995,stay,0.44000440000672825,64,309,2668
44,8,185.3294123999949,leave,0.6868163000035565,0,309,2668
45,9,197.67744960001437,stay,0.4686437999771442,94,94,2762
46,9,200.10956449998775,stay,0.5340987999807112,83,177,2845
47,9,202.99752120001358,stay,0.6723697999841534,71,248,2916
48,9,205.62723700000788,stay,0.6521667999913916,57,305,2973
49,9,208.13773650000803,leave,0.47919099999126047,0,305,2973
50,10,220.62347630001022,stay,0.5649430000048596,96,96,3069
51,10,223.11014179998892,stay,0.4518629000231158,79,175,3148
52,10,225.6234773999895,stay,0.5332502999808639,69,244,3217
53,10,228.04152890000842,stay,0.5335494999890216,55,299,3272
54,10,230.57968709999113,leave,0.4543402999988757,0,299,3272
55,11,242.99353619999602,stay,0.6528895999945235,94,94,3366
56,11,245.65561149999849,stay,0.5313079000043217,79,173,3445
57,11,248.11534180000308,stay,0.6237723999947775,68,241,3513
58,11,250.48194639998837,stay,0.4909541000088211,58,299,3571
59,11,252.91764400000102,stay,0.47680980002041906,55,354,3626
60,11,255.913609500014,leave,1.0226083000015933,0,354,3626
61,12,268.3398245999997,stay,0.532839999999851,99,99,3725
62,12,270.7591950999922,stay,0.4685493000142742,78,177,3803
63,12,273.255330999993,stay,0.44874150000396185,73,250,3876
64,12,275.74781719999737,stay,0.4405463000002783,56,306,3932
65,12,278.2456012000039,stay,0.4052887000143528,52,358,3984
66,12,281.4596174999897,leave,1.0687531000003219,0,358,3984
67,13,293.68744219999644,stay,0.54773949997616,96,96,4080
68,13,296.16577510000207,stay,0.4928675999981351,75,171,4155
69,13,298.63312899999437,stay,0.4768451999989338,68,239,4223
