,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,5.743311499973061,stay,1.2856512000143994,96,96,96
1,1,10.885473299975274,stay,0.7109014999878127,82,178,178
2,1,14.943456899985904,stay,1.1693195000116248,73,251,251
3,1,18.619458599976497,stay,0.8451383000065107,56,307,307
4,1,22.891484399995534,stay,0.5506782000011299,52,359,359
5,1,27.881589099997655,stay,0.5578312999859918,45,404,404
6,1,33.3912624999939,stay,0.5347421999904327,35,439,439
7,1,38.38353249998181,stay,0.5103863999829628,23,462,462
8,1,41.853538299998036,stay,0.6636401999858208,8,470,470
9,1,46.40139879999333,leave,0.661458999995375,0,470,470
10,2,58.87131919999956,stay,0.6317713000171352,91,91,561
11,2,61.929412199999206,stay,0.6396319000050426,85,176,646
12,2,64.74322769997525,stay,0.7036368000262883,73,249,719
13,2,67.61961080000037,stay,0.6797354999871459,59,308,778
14,2,71.78337019999162,stay,0.5273894999991171,54,362,832
15,2,75.86138599997503,stay,0.5218638999795076,43,405,875
16,2,80.51534499999252,stay,0.5595116000040434,30,435,905
17,2,83.45802669998375,leave,0.6186275999934878,0,435,905
18,3,96.18528019997757,stay,0.6300107999995816,98,98,1003
19,3,99.621513399994,stay,0.6492932000255678,79,177,1082
20,3,102.47915849997662,stay,0.6402193000249099,72,249,1154
21,3,105.99940739999874,stay,0.8108591999916825,57,306,1211
22,3,109.46334109999589,stay,0.7076197999995202,45,351,1256
23,3,112.30763999998453,stay,0.6027667000016663,39,390,1295
24,3,115.08347749998211,stay,0.5612429000029806,26,416,1321
25,3,119.1713595999754,stay,0.6664880999887828,25,441,1346
26,3,123.83984129998134,stay,1.1182031000207644,10,451,1356
27,3,129.84332580000046,leave,0.7716002000088338,0,451,1356
28,4,144.25939999998081,stay,0.7049255000019912,99,99,1455
29,4,147.79330259998096,stay,0.5388629999943078,83,182,1538
30,4,152.19331740000052,stay,0.6050155000120867,70,252,1608
31,4,155.2831130999839,stay,0.7286971999856178,63,315,1671
32,4,158.7111134000006,leave,0.5907205000112299,0,315,1671
33,5,172.7472644999798,stay,0.6599757999938447,89,89,1760
34,5,175.5996685999853,stay,0.9622356999898329,82,171,1842
35,5,179.71915959997568,stay,0.5322257000079844,71,242,1913
36,5,182.63325559999794,stay,0.6461448000045493,58,300,1971
37,5,185.79148429998895,stay,1.0377102000056766,47,347,2018
38,5,190.66912119998597,stay,0.6987390000140294,36,383,2054
39,5,193.37733869999647,stay,0.8405751999816857,28,411,2082
40,5,197.53719069997896,stay,0.6332762000092771,22,433,2104
41,5,200.8238727999851,stay,0.7871501999907196,8,441,2112
42,5,205.38514319999376,leave,0.7146614999801386,0,441,2112
43,6,218.20920459998888,stay,0.573321500007296,94,94,2206
44,6,221.07097059997614,stay,0.6514779000135604,83,177,2289
45,6,224.15176839998458,stay,0.6657759999798145,70,247,2359
46,6,228.60910399997374,stay,0.5234102999966126,62,309,2421
47,6,231.48331949999556,stay,0.6308024000027217,46,355,2467
48,6,235.50730139997904,stay,0.7550538000068627,36,391,2503
49,6,239.29739059999702,stay,0.9616937999962829,32,423,2535
50,6,242.0752957999939,stay,0.7897792000148911,15,438,2550
51,6,247.14949169999454,leave,0.6134758999978658,0,438,2550
52,7,259.70907379998243,stay,0.6408447000139859,86,86,2636
53,7,262.62919869998586,stay,0.7280890999827534,85,171,2721
54,7,266.6893056999834,stay,0.5875834000180475,69,240,2790
55,7,270.44516750000184,stay,0.6599998000019696,57,297,2847
56,7,273.6657112999819,stay,0.5975249000184704,51,348,2898
57,7,276.453405999986,stay,0.6850109999941196,42,390,2940
58,7,279.13530799999717,stay,0.6336560000199825,28,418,2968
59,7,281.9591744999925,stay,0.7077662999799941,20,438,2988
60,7,285.0014915999782,stay,0.5828463000070769,9,447,2997
61,7,288.41902659999323,stay,0.9675437999831047,0,447,2997
62,7,293.8313240999996,leave,0.5470281000016257,0,447,2997
