,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,4.444443600004888,stay,2.2352708999969764,91,91,91
1,1,7.182787700003246,stay,0.4401639999996405,85,176,176
2,1,9.948484300002747,stay,0.5889305000018794,73,249,249
3,1,12.504722100005893,stay,0.4950929000042379,56,305,305
4,1,15.124517200005357,stay,0.4983853000012459,45,350,350
5,1,17.683103300005314,stay,0.6567527000006521,41,391,391
6,1,20.258591100006015,stay,0.532628000000841,29,420,420
7,1,22.878501099999994,stay,0.4190720000042347,19,439,439
8,1,25.492565600005037,stay,0.5334570999984862,14,453,453
9,1,28.03048200000194,stay,0.4378712000034284,0,453,453
10,1,31.54070180000417,leave,0.981414699999732,0,453,453
11,2,43.846562800004904,stay,0.5548095000049216,95,95,548
12,2,46.328603500005556,stay,0.4862656999976025,81,176,629
13,2,49.65235609999945,stay,0.9600666000042111,69,245,698
14,2,52.87104760000511,stay,0.39522730000317097,60,305,758
15,2,55.97242470000492,stay,0.7304408999989391,50,355,808
16,2,58.66043360000185,stay,0.36870379999891156,37,392,845
17,2,61.55274009999994,stay,0.3772674000065308,33,425,878
18,2,64.3027929000018,leave,0.5942954999991343,0,425,878
19,3,76.91304360000504,stay,0.42162110000208486,86,86,964
20,3,79.97077680000075,stay,0.6126264999984414,75,161,1039
21,3,82.75634200000059,stay,0.5152423000035924,70,231,1109
22,3,85.83228530000633,stay,0.44105860000126995,60,291,1169
23,3,88.11222100000305,stay,0.35417600000073435,48,339,1217
24,3,90.82069050000428,stay,0.3634950999985449,41,380,1258
25,3,93.49452360000578,stay,0.3870131000003312,35,415,1293
26,3,96.2663332000011,leave,0.4748622000042815,0,415,1293
27,4,109.05266370000027,stay,0.5618759999997565,98,98,1391
28,4,111.67269579999993,stay,0.4485789999962435,76,174,1467
29,4,114.12056550000125,stay,0.39666869999928167,74,248,1541
30,4,116.77869070000452,stay,0.3545168000055128,63,311,1604
31,4,119.96644110000489,stay,0.6757532999981777,49,360,1653
32,4,122.67842990000645,stay,0.5212572000018554,35,395,1688
33,4,125.18078160000005,stay,0.45677299999806564,33,428,1721
34,4,128.11851350000506,leave,0.8781631999954698,0,428,1721
35,5,140.76461109999946,stay,0.624427700000524,88,88,1809
36,5,143.54064170000493,stay,0.5173959999956423,82,170,1891
37,5,146.21237630000542,stay,0.5057386000044062,66,236,1957
38,5,149.23086200000398,stay,0.40721710000070743,65,301,2022
39,5,152.04105160000472,stay,0.4841608999995515,55,356,2077
40,5,154.86443780000263,stay,0.591304499997932,44,400,2121
41,5,157.9225632000016,stay,0.5997201999998651,33,433,2154
42,5,160.67677010000625,leave,0.48705610000615707,0,433,2154
43,6,172.7884994000051,stay,0.4325219000020297,95,95,2249
44,6,175.2170258000042,stay,0.41066390000196407,82,177,2331
45,6,178.02032590000454,stay,0.5638730999999098,68,245,2399
46,6,181.3745970000018,stay,0.5184619999999995,60,305,2459
47,6,183.98650660000567,stay,0.43061630000011064,46,351,2505
48,6,186.40115100000548,stay,0.32860160000564065,43,394,2548
49,6,188.66641370000434,stay,0.3606854000026942,27,421,2575
50,6,192.63022320000164,leave,0.5575555000032182,0,421,2575
51,7,204.85462380000536,stay,0.4996374999973341,100,100,2675
52,7,207.4984637000016,stay,0.5264091999997618,83,183,2758
53,7,211.92041489999974,stay,0.48158520000288263,69,252,2827
54,7,214.64858140000433,stay,0.4432900999963749,58,310,2885
55,7,217.2624447000053,stay,0.37397719999717083,51,361,2936
56,7,219.9924597000063,stay,0.5543087000041851,42,403,2978
57,7,222.42439210000157,stay,0.419223900003999,35,438,3013
58,7,224.80264100000204,leave,0.4809014999991632,0,438,3013
59,8,236.7386867000023,stay,0.3199206999997841,97,97,3110
60,8,239.21072780000395,stay,0.4058469999945373,83,180,3193
61,8,241.74699930000497,stay,0.5752173000000766,74,254,3267
62,8,244.08475870000257,stay,0.3798763000013423,62,316,3329
63,8,246.36697640000057,stay,0.3620991999996477,46,362,3375
64,8,248.8390883000029,leave,0.4676660000041011,0,362,3375
65,9,261.1364964000022,stay,0.34892289999697823,95,95,3470
66,9,263.4565208000058,stay,0.40209450000111246,81,176,3551
67,9,265.9827241000021,stay,0.46191049999470124,72,248,3623
68,9,268.54678350000177,stay,0.5093412999995053,63,311,3686
69,9,271.27897260000464,stay,0.5579511999967508,54,365,3740
70,9,274.27638280000247,stay,0.4056376000007731,41,406,3781
71,9,277.01832330000616,stay,0.5313975000026403,32,438,3813
72,9,279.7245050000056,stay,0.4541045000005397,18,456,3831
73,9,282.09453630000644,leave,0.45715909999853466,0,456,3831
74,10,294.48641900000075,stay,0.3663693999988027,99,99,3930
75,10,296.99832260000403,stay,0.4615440999987186,75,174,4005
76,10,299.5526328000051,stay,0.4487869000004139,73,247,4078
