,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,3.568709899998794,stay,0.8708746999982395,94,94,94
1,1,6.861171199998353,stay,0.7461444999971718,80,174,174
2,1,9.889433399999689,stay,0.7743071999975655,74,248,248
3,1,12.69154399999752,stay,0.6102624000013748,61,309,309
4,1,15.777716099997633,stay,0.49720220000017434,50,359,359
5,1,18.684084199998324,leave,0.6539166000002297,0,359,359
6,2,32.00143989999924,stay,1.1587502999973367,94,94,453
7,2,35.021965799998725,stay,0.5744088999999803,81,175,534
8,2,38.310334999998304,stay,0.46372949999931734,68,243,602
9,2,41.29467070000101,stay,0.6472203999983321,64,307,666
10,2,44.432666299999255,stay,0.7693782999995165,51,358,717
11,2,47.54306440000073,stay,0.5459148999980243,38,396,755
12,2,50.26774329999898,stay,0.5536830000019108,34,430,789
13,2,53.795776200000546,stay,1.0167772000022524,23,453,812
14,2,56.88444529999833,stay,0.6701339999999618,15,468,827
15,2,59.88346129999991,stay,0.6695265999987896,0,468,827
16,2,64.13510499999757,leave,1.304840200002218,0,468,827
17,3,77.6003540999991,stay,0.5205932999997458,92,92,919
18,3,80.69486639999741,stay,0.7648718000018562,85,177,1004
19,3,83.56493599999885,stay,0.6181383999974059,68,245,1072
20,3,86.74145919999864,stay,0.6122863999989931,64,309,1136
21,3,89.96985589999895,stay,0.5740125000011176,54,363,1190
22,3,93.11977900000056,stay,0.8737059999984922,37,400,1227
23,3,96.41672370000015,stay,0.7047402999996848,25,425,1252
24,3,100.71696429999793,stay,1.9370486000007077,15,440,1267
25,3,103.49933989999772,stay,0.6047776000013982,5,445,1272
26,3,106.72146000000066,leave,0.5254466000005777,0,445,1272
27,4,119.75906309999846,stay,0.7467213999989326,89,89,1361
28,4,123.73539410000012,stay,0.7555981999976211,77,166,1438
29,4,127.05592479999905,stay,0.7770578000017849,67,233,1505
30,4,130.08655609999914,stay,0.707228600000235,57,290,1562
31,4,132.81243819999872,stay,0.5501887999998871,46,336,1608
32,4,136.1704135,stay,0.8250536999985343,41,377,1649
33,4,139.29319699999905,stay,0.6153451000027417,33,410,1682
34,4,141.77178640000056,stay,0.4778194999998959,20,430,1702
35,4,145.39598509999996,stay,0.45111420000102953,5,435,1707
36,4,148.55012329999954,leave,0.6549592999981542,0,435,1707
37,5,162.087521999998,stay,1.0928468000020075,97,97,1804
38,5,165.09214729999803,stay,0.5804624000011245,84,181,1888
39,5,168.00206059999982,stay,0.7408013999993273,68,249,1956
40,5,170.8582499999975,stay,0.7470845999996527,60,309,2016
41,5,173.63303280000036,stay,0.6378638999995019,45,354,2061
42,5,176.90107390000048,stay,0.7900957000019844,41,395,2102
43,5,179.8055768999984,stay,0.7277226999976847,35,430,2137
44,5,182.86542609999742,stay,0.7712099999989732,18,448,2155
45,5,186.42193559999941,stay,1.0111179999985325,14,462,2169
46,5,189.31875170000058,stay,0.7909050000016578,0,462,2169
47,5,193.79117739999856,leave,0.7300412999975379,0,462,2169
48,6,206.65024389999962,stay,0.8739258000023256,100,100,2269
49,6,209.9229400999975,stay,0.6969025999969745,84,184,2353
50,6,212.88698959999965,stay,0.8597347000031732,72,256,2425
51,6,215.81301399999938,stay,0.9861219999984314,64,320,2489
52,6,218.9695826999996,stay,0.8940335000006598,49,369,2538
53,6,222.57796569999846,stay,0.5844735999999102,41,410,2579
54,6,225.65817550000065,stay,0.8151307000007364,35,445,2614
55,6,228.46850450000056,stay,0.64164289999826,22,467,2636
56,6,232.27505549999842,stay,0.5322412000023178,6,473,2642
57,6,235.15333649999957,stay,0.6608761999996204,0,473,2642
58,6,239.52579530000003,leave,0.7821248000000196,0,473,2642
59,7,252.73935599999822,stay,1.380951900002401,93,93,2735
60,7,255.59988539999904,stay,0.6914023000026646,81,174,2816
61,7,258.6880345999998,stay,0.7116137000011804,71,245,2887
62,7,261.47030710000035,stay,0.544375299999956,55,300,2942
63,7,264.6005350999985,stay,0.7750433000001067,50,350,2992
64,7,267.3506911999975,stay,0.5581296999989718,37,387,3029
65,7,270.3791581000005,stay,0.8367483000001812,26,413,3055
66,7,273.65540599999804,stay,0.9457108000024164,22,435,3077
67,7,276.55978999999934,stay,0.584248099999968,14,449,3091
68,7,279.90010919999986,stay,0.6746268999995664,0,449,3091
69,7,283.20053579999876,leave,0.8080993000003218,0,449,3091
70,8,296.1378059999988,stay,0.979303299998719,86,86,3177
71,8,299.1000423000005,stay,0.4920973000007507,82,168,3259
