,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,5.7042768000028445,stay,0.8781099999978323,89,89,89
1,1,8.985922700005176,stay,0.8262011999977403,81,170,170
2,1,12.624298100003216,stay,0.9813491000022623,65,235,235
3,1,18.091906699999527,leave,0.766062000002421,0,235,235
4,2,30.445775200001663,stay,0.670247299996845,88,88,323
5,2,34.399957800000266,stay,0.9409240999957547,82,170,405
6,2,38.020714500002214,stay,0.7949077000012039,66,236,471
7,2,41.795876500000304,leave,0.6031222000019625,0,236,471
8,3,55.41583230000106,stay,1.057393899995077,89,89,560
9,3,58.9659216,stay,0.7906355999948573,81,170,641
10,3,62.83998490000522,leave,0.9137981999956537,0,170,641
11,4,76.72780310000235,stay,1.0686722999962512,98,98,739
12,4,81.16606890000548,stay,0.6244568999973126,75,173,814
13,4,84.98428710000007,leave,0.6924818999978015,0,173,814
14,5,97.51013230000535,stay,1.085625899999286,100,100,914
15,5,101.61594270000205,stay,0.9085427000027266,83,183,997
16,5,105.49223390000407,stay,0.934020300002885,70,253,1067
17,5,109.6820058000012,leave,0.8246088000014424,0,253,1067
18,6,122.56479319999926,stay,0.8070355999952881,87,87,1154
19,6,127.09619880000537,leave,0.7219984999974258,0,87,1154
20,7,139.86601670000528,stay,0.6423501999961445,90,90,1244
21,7,143.39247690000047,stay,0.7687838999991072,77,167,1321
22,7,147.1699785000019,leave,0.8467499999969732,0,167,1321
23,8,159.6985263000024,stay,0.608802899994771,89,89,1410
24,8,162.8479800999994,stay,0.6581308000022545,84,173,1494
25,8,166.33821360000002,stay,0.5487967000008211,72,245,1566
26,8,172.98627850000048,leave,0.8968143000020063,0,245,1566
27,9,186.11644550000346,stay,0.8106798000007984,93,93,1659
28,9,190.6043340000033,stay,0.9481175999972038,77,170,1736
29,9,194.54211990000476,leave,0.8859011000022292,0,170,1736
30,10,207.59413760000461,stay,0.6887685000037891,99,99,1835
31,10,211.7742326000007,stay,0.9519912999967346,79,178,1914
32,10,214.964243800001,stay,0.6754035999983898,71,249,1985
33,10,218.7165909000032,stay,0.8614364000022761,62,311,2047
34,10,223.7184613999998,leave,1.129219499998726,0,311,2047
35,11,236.4565700000021,stay,0.5680269000004046,98,98,2145
36,11,240.3982840000026,stay,1.0098610000059125,79,177,2224
37,11,244.05828699999984,stay,0.8366356999977143,68,245,2292
38,11,248.5329800000036,leave,1.1445373999958974,0,245,2292
39,12,261.3081461000038,stay,0.7535656000036397,96,96,2388
40,12,265.2343586000061,stay,1.063125000000582,85,181,2473
41,12,269.29039710000507,stay,0.8692270999963512,70,251,2543
42,12,273.1562769000011,leave,1.2017532999961986,0,251,2543
43,13,286.0164939000024,stay,0.8120531000022311,95,95,2638
44,13,290.22263440000097,stay,1.3010273999971105,80,175,2718
45,13,293.9649112000043,stay,0.8108753000051365,71,246,2789
46,13,297.89640290000534,leave,0.9425659999978961,0,246,2789
