,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,9.888302899998962,stay,1.5948590999978478,100,100,100
1,1,14.03071899999486,stay,0.45411159999639494,77,177,177
2,1,17.174410299994634,leave,0.7645249999986845,0,177,177
3,2,30.184347399997932,stay,0.6744948999985354,93,93,270
4,2,33.01048149999406,stay,0.700555199997325,75,168,345
5,2,35.61677499999496,stay,0.6739606999981334,70,238,415
6,2,38.424484199997096,stay,0.7985303999957978,56,294,471
7,2,43.232506000000285,stay,0.6895655999978771,50,344,521
8,2,46.26656820000062,stay,0.6574963000020944,45,389,566
9,2,49.88451559999521,leave,0.5412979000029736,0,389,566
10,3,63.190750699999626,stay,0.6649933000007877,96,96,662
11,3,66.26264850000007,stay,0.6369752000027802,76,172,738
12,3,69.18850569999631,stay,0.6130562999969698,65,237,803
13,3,72.22856909999973,stay,0.769382400001632,56,293,859
14,3,74.82450119999703,leave,0.6823338999965927,0,293,859
15,4,88.35049710000021,stay,0.6756463999990956,91,91,950
16,4,90.89661199999682,stay,0.6215493000054266,80,171,1030
17,4,93.40040609999414,stay,0.6589253999991342,70,241,1100
18,4,96.03463629999897,stay,0.543209499999648,62,303,1162
19,4,98.4646528000012,stay,0.4893325000011828,50,353,1212
20,4,101.45030779999797,leave,1.1420922000033897,0,353,1212
21,5,114.69255010000052,stay,0.5349015000028885,89,89,1301
22,5,117.76454589999776,stay,0.6069673000019975,75,164,1376
23,5,120.3163898999992,leave,0.5919609000047785,0,164,1376
24,6,133.1464194,stay,0.5715246000036132,85,85,1461
25,6,137.37072310000076,stay,0.4462324000051012,84,169,1545
26,6,139.71672340000077,stay,0.5923603999981424,73,242,1618
27,6,144.1551283000008,stay,0.5141801999998279,56,298,1674
28,6,146.90475489999517,leave,0.4972993999981554,0,298,1674
29,7,160.21480489999522,stay,0.6239561999973375,93,93,1767
30,7,163.33511559999897,stay,0.5612901999993483,75,168,1842
31,7,166.22854679999728,stay,0.6047080999996979,66,234,1908
32,7,169.0486963000003,stay,0.6252883999986807,55,289,1963
33,7,171.98662879999756,stay,0.6131252999985009,49,338,2012
34,7,174.85668409999926,leave,0.5166333000015584,0,338,2012
35,8,187.88885679999657,stay,0.5155786999966949,86,86,2098
36,8,190.57058329999563,stay,0.5808115999971051,84,170,2182
37,8,192.89847459999874,stay,0.525333600002341,69,239,2251
38,8,195.69669240000076,leave,0.9403156999978819,0,239,2251
39,9,208.73070870000083,stay,0.6912977000029059,96,96,2347
40,9,212.1254947999987,stay,0.6527640999993309,80,176,2427
41,9,216.60489199999574,stay,0.5322044999993523,69,245,2496
42,9,219.43110409999645,stay,0.5076396000004024,55,300,2551
43,9,222.08677929999976,stay,0.49782739999500336,46,346,2597
44,9,224.66684439999517,stay,0.5279960999978357,37,383,2634
45,9,228.2630091999963,leave,1.0870711999959894,0,383,2634
46,10,240.95893069999875,stay,0.6367985999968369,86,86,2720
47,10,243.77690230000007,stay,0.5545447999975295,78,164,2798
48,10,246.2710201000009,stay,0.6823805000021821,65,229,2863
49,10,249.03103259999625,leave,0.6428586000038194,0,229,2863
50,11,262.4107698000007,stay,0.5894855000005919,91,91,2954
51,11,265.2970276999986,stay,0.5585501999958069,78,169,3032
52,11,268.36709219999466,stay,0.6951725000035367,69,238,3101
53,11,271.22693040000013,stay,0.5219245000043884,64,302,3165
54,11,275.69084909999947,stay,0.5363033000030555,48,350,3213
55,11,278.5709990999967,stay,0.5663464000026579,39,389,3252
56,11,281.28867439999885,stay,0.68394470000203,34,423,3286
57,11,284.4272114999985,leave,0.9056865999955335,0,423,3286
58,12,297.30485309999494,stay,0.633412799994403,87,87,3373
59,12,299.96068340000056,stay,0.5233949000030407,85,172,3458
